sha,date,subject,src_files,n_later_commits,seed_ctx_syms,seed_crude_syms,later_ctx_syms,file_hit,ctx_hit,crude_hit,ctx_hit_730,overlap_ctx
dc45595e7e80,2025-11-28,[Synth] Fix crash in AndInverterOp folding with non-integer operands,lib/Dialect/Synth/SynthOps.cpp,21,1,9,18,1,1,1,1,fold
f5f5a6567ca5,2025-11-27,[CombFolds] Fix crash in folding with non-integer attribute operands (#9273),lib/Dialect/Comb/CombFolds.cpp,11,1,5,6,1,1,1,1,fold
fa7eb12bf52d,2025-11-27,[SwitchToIf] support multi-result scf.index_switch + add regression test (#9245),lib/Transforms/IndexSwitchToIf.cpp,1,1,8,1,1,1,1,1,IndexSwitchOp
61b1c871234e,2025-11-24,[MooreToCore] Fix lowering of dynamic extracts of nested arrays (#9257),lib/Conversion/MooreToCore/MooreToCore.cpp,79,2,4,58,1,1,1,1,DynExtractOp;DynExtractRefOp
351189822e33,2025-11-20,[ESI] Window lowered type fix (#9243),lib/Dialect/ESI/ESITypes.cpp,5,1,12,6,1,1,1,1,getLoweredType
76fc7146b8e9,2025-11-20,[ESI][Runtime] Fix a test and some source broken by 25f3ac8,lib/Dialect/ESI/runtime/python/esiaccel/codegen.py,20,2,3,9,1,1,1,1,Optional;run
91872b228b74,2025-11-07,Fix inout port lowering for sv.verbatim.module (#9209),include/circt/Dialect/SV/SVTypeDecl.td;lib/Conversion/FIRRTLToHW/LowerToHW.cpp,38,2,6,41,1,1,1,1,SVVerbatimModuleOp;lowerExtModule
7cf1c5cf263b,2025-11-05,[ImportVerilog] Fix LValue generation for ClassPropertySymbol,lib/Conversion/ImportVerilog/Expressions.cpp,80,2,12,19,1,1,1,1,ExprVisitor;getTimeScaleInFemtoseconds
baefacd3881f,2025-11-03,[RTG][Elaboration] Fix incorrect set equality (#9175),lib/Dialect/RTG/Transforms/ElaborationPass.cpp,16,1,12,23,1,1,1,1,SetStorage
6bfecf76581d,2025-10-31,[ImportVerilog] Fix capture callback chaining,lib/Conversion/ImportVerilog/Structure.cpp,62,2,9,26,1,1,1,1,convertFunction;finalizeFunctionBodyCaptures
9dfde5ef309f,2025-10-29,[Comb] Fix another recursive mux canonicalizer (#9144),lib/Dialect/Comb/CombFolds.cpp,14,1,2,6,1,1,1,1,matchAndRewrite
a509cfea3101,2025-10-21,[Synth][LowerVariadic] Fix a dialect dependency (#9118),include/circt/Dialect/Synth/Transforms/SynthPasses.td,16,1,0,6,1,1,0,1,HWModuleOp
0fca2bd7f535,2025-10-20,[ImportVerilog] Fix dynamic part-select index typing and add test,lib/Conversion/ImportVerilog/Expressions.cpp,97,1,14,21,1,1,1,1,getSelectIndex
52e3074ff26b,2025-10-17,[FIRRTL] Fix dedup looking up wrong op in inner ref target check (#9104),lib/Dialect/FIRRTL/Transforms/Dedup.cpp,10,1,3,7,1,1,1,1,Equivalence
bdbbd4ba3032,2025-10-16,"[Synth][LowerVariaidc] Fix UAF, topological ordering and a pass phase ordering (#9095)",lib/Dialect/Synth/Transforms/LowerVariadic.cpp;lib/Dialect/Synth/Transforms/SynthesisPipeline.cpp,16,2,19,7,1,1,1,1,buildSynthOptimizationPipeline;runOnOperation
1bb65bd28415,2025-10-10,[Synth] Fix an incorrect canonicalization,lib/Dialect/Synth/SynthOps.cpp,22,1,5,18,1,1,1,1,canonicalize
1286a6c3eca4,2025-10-09,[Comb] Fix mux canonicalizers for non-signless-ints (#9071),lib/Dialect/Comb/CombFolds.cpp,16,2,12,7,1,1,1,1,fold;matchAndRewrite
ffd1d5eb87e4,2025-09-20,[ImportVerilog] Fix single argument expressions in severity tasks (#8998),lib/Conversion/ImportVerilog/Statements.cpp,37,1,9,8,1,1,1,1,StmtVisitor
09f0bbe083a3,2025-09-18,[Moore] Fix missing RValue conversion for struct_create (#8988),lib/Conversion/ImportVerilog/Expressions.cpp,106,1,20,22,1,1,1,1,ExprVisitor
978f392c2b69,2025-09-11,[ImportVerilog] Fix edge case for single-bit pre- and post-increment (#8945),lib/Conversion/ImportVerilog/Expressions.cpp,112,1,5,23,1,1,1,1,ExprVisitor
14511d96a676,2025-08-27,[ExportVerilog] Fix crash for variadic ops with a single operand (#8894),lib/Conversion/ExportVerilog/PrepareForEmission.cpp,4,1,5,4,1,1,1,1,legalizeHWModule
a197d6e076c1,2025-08-26,[circt-synth] Parallel Prefix Lowering Performance Bug Fix (#8881),lib/Conversion/CombToAIG/CombToAIG.cpp,3,1,4,9,1,1,1,1,AddOp
4d57dc924072,2025-08-18,[HWToLLVM] Fix struct_inject lowering using pre-lowering operand (#8867),lib/Conversion/HWToLLVM/HWToLLVM.cpp,11,1,2,15,1,1,1,1,StructInjectOpConversion
9f021153418e,2025-08-14,[ImportVerilog] Fix Slang crash when loading same file twice,lib/Conversion/ImportVerilog/ImportVerilog.cpp,16,1,5,7,1,1,1,1,prepareDriver
765883a39398,2025-08-12,[ImportVerilog] Fix assignment to concat of packed arrays (#8841),lib/Conversion/MooreToCore/MooreToCore.cpp;lib/Dialect/Moore/MooreOps.cpp,124,2,8,82,1,1,1,1,ExtractOp;inferReturnTypes
4fa60bb1d2cf,2025-08-11,[ImportVerilog] Fix file locations for auto-discovered files (#8840),lib/Conversion/ImportVerilog/ImportVerilog.cpp;lib/Conversion/ImportVerilog/ImportVerilogInternals.h,74,6,15,16,1,1,1,1,Context;convertLocation;importVerilog;prepareDriver
cb22826d27fb,2025-08-06,[LLHD] Fix UnrollLoops crash on single-block regions,lib/Dialect/LLHD/Transforms/UnrollLoops.cpp,5,1,5,5,1,1,0,1,runOnOperation
82a8af4acfea,2025-07-25,[Comb] Fix more recursive mux folders (#8756),lib/Dialect/Comb/CombFolds.cpp,23,2,7,20,1,1,1,1,foldCommonMuxValue;matchAndRewrite
237f74447515,2025-07-23,[FIRRTL] Fix TagExtractOp's type inference (#8766),lib/Dialect/FIRRTL/FIRRTLOps.cpp,63,1,5,48,1,1,1,1,inferReturnType
e80a67d30db4,2025-07-22,"[VerifToSMT] Fix lowering of no output, no result LEC op (#8763)",lib/Conversion/VerifToSMT/VerifToSMT.cpp,10,1,4,9,1,1,1,1,LogicEquivalenceCheckingOpConversion
888e6787e4e2,2025-07-21,[FSMToSV] Fix bug of operations not being cloned in transition region (#8753),lib/Conversion/FSMToSV/FSMToSV.cpp,4,1,8,7,1,1,1,1,convertState
dc524e9ea04f,2025-07-20,[AIG][LongestPathAnalysis] Fix a bug in deduplicatePathsImpl (#8746),lib/Dialect/AIG/Analysis/LongestPathAnalysis.cpp,8,1,10,39,1,1,1,1,deduplicatePathsImpl
