sha,date,test_file,lang,entry_tool,reducibility,lead_not,pipe,pct_t,pct_S,pct_brace,split_file,split_input_file,verify_diagnostics,shell_and,redirect,run_line
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,circt-opt,direct,1,0,0,0,0,0,0,0,0,0,not circt-opt -export-verilog %s
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,0,1,0,0,circt-opt -export-verilog -verify-diagnostics %s
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,other,direct,0,0,1,0,0,0,0,0,1,0,rm -rf %t && mkdir -p %t
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,circt-opt,direct,1,0,1,0,0,0,0,0,0,0,not circt-opt -export-split-verilog='dir-name=%t' %s
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,other,direct,0,0,1,0,0,0,0,0,1,0,rm -rf %t && mkdir -p %t
337c72727242,2026-03-19,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,1,0,0,circt-opt -export-split-verilog='dir-name=%t' %s --verify-diagnostics
a069e06e7cb9,2026-03-17,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
a069e06e7cb9,2026-03-17,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
1dfc471304be,2026-03-16,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
1dfc471304be,2026-03-16,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
e915a39ed63d,2026-03-16,test/Conversion/CoreToFSM/concat-mux.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -convert-core-to-fsm %s | FileCheck %s
b6dea0f9d436,2026-03-16,test/Conversion/CoreToFSM/action-guard-simplify.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -convert-core-to-fsm %s | FileCheck %s
d0cb91fbd7cc,2026-03-12,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
d0cb91fbd7cc,2026-03-12,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
10ca02433451,2026-03-11,test/Conversion/CoreToFSM/action-guard-simplify.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -convert-core-to-fsm %s | FileCheck %s
a0ce24f53157,2026-03-11,test/Conversion/CoreToFSM/basic.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -convert-core-to-fsm %s | FileCheck %s
a0ce24f53157,2026-03-11,test/Conversion/CoreToFSM/errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt -convert-core-to-fsm -verify-diagnostics -split-input-file %s
01c8443a464c,2026-03-11,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
01c8443a464c,2026-03-11,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
fb5d04cc5ab8,2026-03-10,test/Conversion/FSMToSMT/diff_init_state.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -convert-fsm-to-smt %s | FileCheck %s
33c4c09aebdd,2026-03-10,test/Dialect/Seq/reg-of-vec-to-mem.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt %s --seq-reg-of-vec-to-mem | FileCheck %s
a3e42c4e87c4,2026-03-06,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
a3e42c4e87c4,2026-03-06,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
f6d9f05b820f,2026-03-05,test/Dialect/Synth/sop-balancing.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --pass-pipeline='builtin.module(hw.module(synth-sop-balancing{max-cut-input-size=6}))' %s | FileCheck %s
ca876e0b68d2,2026-03-04,test/Dialect/FIRRTL/inliner.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --pass-pipeline='builtin.module(firrtl.circuit(firrtl-inliner))' -allow-unregistered-dialect %s | FileCheck %s
